,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,monthly_downloads,projectrank_placing,trending,labels,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-08-07 17:40:01.000,2025-08-07 17:40:00,355.0,9.0,188.0,57.0,209.0,1.0,3.0,2571.0,2025-08-07 17:40:05.000,2025.08.07,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-08-10 22:41:27.000,2025-08-10 22:41:27,403.0,17.0,98.0,16.0,309.0,2.0,33.0,1462.0,2023-06-29 18:48:34.000,2023.06.29,68.0,60.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-08-13 15:52:02.000,2025-08-13 15:52:02,12776.0,245.0,2977.0,239.0,8173.0,2962.0,8733.0,19640.0,2025-07-31 07:53:03.000,1.17.1,129.0,808.0,46,True,,mypy,conda-forge/mypy,345013.0,318963.0,https://pypi.org/project/mypy,2025-07-31 07:53:03.000,26050.0,https://anaconda.org/conda-forge/mypy,2025-07-31 23:08:39.649,5774222.0,93132.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-08-12 06:21:31.000,2025-08-12 06:21:29,16732.0,120.0,2846.0,191.0,6453.0,927.0,5273.0,12981.0,2025-06-18 05:48:45.000,8.4.1,185.0,1045.0,46,True,,pytest,conda-forge/pytest,1726725.0,1650898.0,https://pypi.org/project/pytest,2025-06-18 05:48:03.000,75827.0,https://anaconda.org/conda-forge/pytest,2025-06-18 09:43:54.192,38793535.0,669163.0,1.0,,['pytest'],22263.0,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-08-13 19:03:16.000,2025-08-13 19:03:16,15385.0,123.0,3123.0,321.0,5880.0,1071.0,6627.0,9900.0,2025-05-02 15:13:59.000,25.1.1,151.0,838.0,44,True,,pip,conda-forge/pip,247823.0,242578.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5245.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,164639712.0,2613328.0,1.0,,,,,,,,,,,,,,,,,,,,
7,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-08-13 10:52:09.000,2025-08-13 10:52:09,4284.0,71.0,1859.0,535.0,1281.0,280.0,1223.0,53302.0,2025-07-25 07:35:18.000,14.1.0,200.0,276.0,43,True,,rich,conda-forge/rich,493367.0,471257.0,https://pypi.org/project/rich,2025-07-25 07:32:56.000,22110.0,https://anaconda.org/conda-forge/rich,2025-07-25 09:53:40.750,14197705.0,232749.0,1.0,,,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-08-13 19:29:07.000,2025-08-13 19:29:05,6296.0,73.0,1421.0,231.0,786.0,360.0,1506.0,10778.0,2025-02-13 21:54:12.000,7.0.0,97.0,221.0,43,True,,psutil,conda-forge/psutil,764527.0,748551.0,https://pypi.org/project/psutil,2025-02-13 21:54:12.000,15976.0,https://anaconda.org/conda-forge/psutil,2025-04-22 14:56:22.590,49026873.0,803719.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2025-08-14 14:19:41.000,2025-08-14 14:19:40,17384.0,119.0,1881.0,185.0,4894.0,626.0,9563.0,7033.0,2025-08-04 14:05:01.000,25.7.0,104.0,466.0,43,True,,conda,conda-forge/conda,51791.0,51708.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,83.0,https://anaconda.org/conda-forge/conda,2025-08-05 15:01:02.471,63749148.0,1012200.0,1.0,,,27581.0,,,,,,,,,,,,,,,,,
10,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2025-07-20 17:03:05.000,2025-07-20 17:02:56,16478.0,66.0,1300.0,100.0,1939.0,650.0,2137.0,2743.0,2025-05-27 00:56:55.000,80.9.0,624.0,631.0,43,True,,setuptools,conda-forge/setuptools,843062.0,814153.0,https://pypi.org/project/setuptools,2025-05-27 00:56:49.000,28909.0,https://anaconda.org/conda-forge/setuptools,2025-06-01 19:09:46.361,156255904.0,2480252.0,1.0,,,,,,,,,,,,,,,,,,,,
11,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2025-08-10 23:38:22.000,2025-08-10 23:38:22,2011.0,26.0,2615.0,234.0,1947.0,361.0,2393.0,40797.0,2025-01-29 04:15:38.000,25.1.0,65.0,469.0,41,True,,black,conda-forge/black,672464.0,636847.0,https://pypi.org/project/black,2025-01-29 04:15:38.000,35617.0,https://anaconda.org/conda-forge/black,2025-04-22 14:56:50.293,16503274.0,272185.0,1.0,,,126281.0,,,,,,,,,,,,,,,,,
12,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2025-07-08 19:36:14.983,2025-07-07 21:44:30,9196.0,44.0,1876.0,361.0,2014.0,232.0,4088.0,25087.0,2025-07-07 21:45:44.000,2025.0.4,401.0,529.0,41,True,,pipenv,conda-forge/pipenv,174201.0,173954.0,https://pypi.org/project/pipenv,2025-07-07 21:45:44.000,247.0,https://anaconda.org/conda-forge/pipenv,2025-07-08 19:36:14.983,280094.0,4445.0,1.0,,,,,,,,,,,,,,,,,,,,
13,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2025-08-13 00:38:42.000,2025-08-13 00:38:41,9794.0,67.0,1994.0,230.0,2593.0,283.0,5267.0,12548.0,2025-08-03 18:34:44.000,6.15.0,75.0,480.0,41,True,,pyinstaller,conda-forge/pyinstaller,85281.0,84043.0,https://pypi.org/project/pyinstaller,2025-08-03 18:31:52.000,1238.0,https://anaconda.org/conda-forge/pyinstaller,2025-08-03 23:51:43.456,1291685.0,28739.0,1.0,,,751366.0,,,,,,,,,,,,,,,,,
14,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2025-08-12 11:55:49.000,2025-08-08 04:30:11,22176.0,175.0,2221.0,165.0,6323.0,1238.0,6101.0,7287.0,2025-03-02 22:31:56.000,8.2.3,229.0,884.0,41,False,,sphinx,conda-forge/sphinx,486861.0,459505.0,https://pypi.org/project/sphinx,2025-03-02 22:31:56.000,27356.0,https://anaconda.org/conda-forge/sphinx,2025-04-22 14:56:26.059,11857765.0,188218.0,1.0,-1.0,['sphinx'],,,,,,,,,,,,,,,,,,
15,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2025-08-12 06:07:30.000,2025-08-12 06:07:28,9689.0,86.0,1177.0,77.0,4680.0,1012.0,4787.0,5535.0,2025-08-09 09:12:54.000,3.3.8,204.0,612.0,41,True,pylint-dev/pylint,pylint,conda-forge/pylint,490832.0,480036.0,https://pypi.org/project/pylint,2025-08-09 09:12:54.000,10796.0,https://anaconda.org/conda-forge/pylint,2025-08-09 15:03:11.912,6529232.0,105314.0,1.0,,,235.0,,,,,,,,,,,,,,,,,
16,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2025-08-14 05:19:31.000,2025-08-14 05:19:31,996.0,64.0,1061.0,170.0,1536.0,22.0,1359.0,4958.0,2025-08-13 14:24:40.000,20.34.0,241.0,295.0,40,True,,virtualenv,conda-forge/virtualenv,488129.0,486237.0,https://pypi.org/project/virtualenv,2025-08-13 14:24:05.000,1892.0,https://anaconda.org/conda-forge/virtualenv,2025-08-13 19:05:39.101,13910265.0,239832.0,2.0,,,,,,,,,,,,,,,,,,,,
17,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2025-08-14 10:25:05.000,2025-08-14 10:25:01,6621.0,37.0,3824.0,146.0,3270.0,6.0,2609.0,24180.0,2025-07-26 15:53:44.000,9.6.16,427.0,322.0,39,True,,mkdocs-material,conda-forge/mkdocs-material,77144.0,72231.0,https://pypi.org/project/mkdocs-material,2025-07-26 15:53:44.000,4913.0,https://anaconda.org/conda-forge/mkdocs-material,2025-07-27 01:27:25.461,747759.0,11869.0,1.0,-1.0,['mkdocs'],,,,,,,,,,,,,,,,,,
18,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2025-08-14 05:25:44.000,2025-08-14 05:25:36,8353.0,55.0,1716.0,133.0,2239.0,99.0,7013.0,14652.0,2025-07-08 21:05:46.332,1.1.403,487.0,125.0,39,True,,,,1427.0,1400.0,,,,,,,1641339.0,2.0,,,5271.0,pyright,https://www.npmjs.com/package/pyright,2025-07-08 21:05:46.332,27.0,1641151.0,,,,,,,,,,,,
19,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2025-08-13 14:21:40.000,2025-08-13 14:21:38,2767.0,20.0,891.0,90.0,1269.0,33.0,2177.0,14182.0,2025-08-09 18:59:03.000,4.3.0,198.0,164.0,39,True,,pre-commit,conda-forge/pre-commit,269681.0,249149.0,https://pypi.org/project/pre-commit,2025-08-09 18:56:13.000,20532.0,https://anaconda.org/conda-forge/pre-commit,2025-08-10 13:09:51.846,7568176.0,171442.0,1.0,,,3302994.0,,,,,,,,,,,,,,,,,
20,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2025-08-12 13:27:25.000,2025-07-04 14:38:31,15097.0,75.0,2459.0,479.0,813.0,270.0,4428.0,10968.0,2025-07-04 14:43:52.000,7.3.2,145.0,217.0,39,True,,robotframework,conda-forge/robotframework,14614.0,13663.0,https://pypi.org/project/robotframework,2025-07-04 14:35:54.000,951.0,https://anaconda.org/conda-forge/robotframework,2025-07-07 01:12:14.679,229876.0,4341.0,1.0,,,572.0,,,,,,,,,,,,,,,,,
21,hypothesis,HypothesisWorks/hypothesis,testing,The property-based testing library for Python.,,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2025-08-13 03:57:03.833,2025-08-13 01:56:27,16430.0,534.0,620.0,71.0,2803.0,76.0,1626.0,8007.0,2025-08-13 01:56:56.000,hypothesis-python-6.138.0,1416.0,351.0,39,True,,hypothesis,conda-forge/hypothesis,37278.0,34537.0,https://pypi.org/project/hypothesis,2025-08-13 01:56:34.000,2741.0,https://anaconda.org/conda-forge/hypothesis,2025-08-13 03:57:03.833,14166776.0,224869.0,1.0,,,,,,,,,,,,,,,,,,,,
22,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2025-06-24 10:28:21.000,2025-06-24 10:28:18,8467.0,9.0,514.0,113.0,615.0,85.0,1361.0,5986.0,2024-11-11 01:41:40.000,0.19.2,35.0,175.0,39,True,,jedi,conda-forge/jedi,582729.0,581576.0,https://pypi.org/project/jedi,2024-11-11 01:41:40.000,1153.0,https://anaconda.org/conda-forge/jedi,2025-04-22 14:56:29.139,32315636.0,521219.0,1.0,,,,,,,,,,,,,,,,,,,,
23,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2025-08-12 02:07:23.000,2025-08-12 02:07:21,2490.0,15.0,332.0,37.0,384.0,22.0,1578.0,3663.0,2025-06-20 19:31:34.000,7.3.0,94.0,178.0,39,True,,flake8,conda-forge/flake8,689414.0,662880.0,https://pypi.org/project/flake8,2025-06-20 19:31:34.000,26534.0,https://anaconda.org/conda-forge/flake8,2025-06-26 20:01:55.726,9052879.0,143696.0,1.0,,,,,,,,,,,,,,,,,,,,
24,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2025-05-22 12:10:29.000,2024-11-12 13:36:45,2019.0,,1395.0,212.0,586.0,567.0,587.0,30265.0,2024-11-27 19:23:27.000,4.67.1,142.0,129.0,38,True,,tqdm,conda-forge/tqdm,1193950.0,1150227.0,https://pypi.org/project/tqdm,2024-11-24 20:12:19.000,43723.0,https://anaconda.org/conda-forge/tqdm,2025-04-22 14:56:23.993,39890163.0,643585.0,1.0,,,14722.0,,,,,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-12-14 01:39:50.951159,3.0,5169.0,,,,,,,
25,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4-3.13. You feed it your..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2025-08-14 11:45:41.000,2025-08-14 11:01:51,13842.0,241.0,713.0,140.0,468.0,213.0,2452.0,13636.0,2025-07-08 16:04:10.000,2.7.12,356.0,196.0,38,True,,nuitka,conda-forge/nuitka,3508.0,3380.0,https://pypi.org/project/nuitka,2025-07-08 16:04:10.000,128.0,https://anaconda.org/conda-forge/nuitka,2025-07-09 04:52:13.623,2028315.0,32195.0,1.0,,,,,,,,,,,,,,,,,,,,
26,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2025-08-11 21:19:08.000,2025-08-09 13:53:07,3606.0,20.0,2372.0,190.0,3176.0,585.0,5710.0,33846.0,2025-08-05 03:54:05.000,2.1.4,179.0,610.0,37,True,,poetry,conda-forge/poetry,846.0,,https://pypi.org/project/poetry,2025-08-05 03:54:05.000,846.0,https://anaconda.org/conda-forge/poetry,2025-08-05 05:55:56.120,4279118.0,258654.0,2.0,,,15550227.0,,,,,,,,,,,,,,,,,
27,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2025-08-13 19:36:20.000,2025-08-13 19:36:09,6450.0,205.0,1609.0,507.0,961.0,139.0,1929.0,29519.0,2025-07-09 15:40:39.000,4.3.3,124.0,205.0,37,True,,glances,conda-forge/glances,1197.0,1193.0,https://pypi.org/project/glances,2025-07-09 15:40:39.000,4.0,https://anaconda.org/conda-forge/glances,2025-04-22 14:56:20.672,328825.0,5991.0,1.0,,,1687.0,,,,,,,,,,,,,,,,,
28,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2025-08-03 20:02:22.000,2025-08-03 20:02:22,2116.0,1.0,2529.0,232.0,1331.0,122.0,1986.0,20882.0,2024-08-30 12:24:05.000,1.6.1,62.0,259.0,37,True,,mkdocs,conda-forge/mkdocs,94130.0,87884.0,https://pypi.org/project/mkdocs,2024-08-30 12:24:05.000,6246.0,https://anaconda.org/conda-forge/mkdocs,2025-04-22 14:56:22.183,547622.0,10952.0,1.0,,['mkdocs'],,,,,,,,,,,,,,,,,,
29,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2025-06-19 23:11:07.000,2025-06-19 23:10:50,4332.0,3.0,602.0,46.0,1050.0,234.0,1115.0,6811.0,2025-02-26 21:15:25.000,6.0.1,148.0,315.0,37,True,,isort,conda-forge/isort,573772.0,558785.0,https://pypi.org/project/isort,2025-02-26 21:13:14.000,14987.0,https://anaconda.org/conda-forge/isort,2025-05-02 12:53:46.732,7759485.0,127204.0,2.0,,,,,,,,,,,,,,,,,,,,
30,scons,SCons/scons,build-tools,SCons - a software construction tool.,,https://github.com/SCons/scons,https://github.com/SCons/scons,MIT,2017-09-24 19:23:46.000,2025-08-13 18:40:30.000,2025-08-13 18:40:30,9699.0,104.0,331.0,62.0,1251.0,655.0,2807.0,2266.0,2025-03-27 20:46:09.000,4.9.1,40.0,171.0,37,True,,scons,conda-forge/scons,3973.0,3921.0,https://pypi.org/project/scons,2025-03-27 20:42:16.000,52.0,https://anaconda.org/conda-forge/scons,2025-04-22 14:56:33.410,993438.0,16580.0,1.0,,,1785.0,,,,,,,,,,,,,,,,,
31,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2025-06-27 16:02:09.000,2025-02-10 20:44:26,1355.0,,901.0,202.0,411.0,416.0,466.0,13935.0,2024-11-14 00:11:39.000,0.43.0,75.0,156.0,36,True,,yapf,conda-forge/yapf,107766.0,106510.0,https://pypi.org/project/yapf,2024-11-14 00:11:39.000,1256.0,https://anaconda.org/conda-forge/yapf,2025-04-22 14:56:24.153,2394924.0,46056.0,2.0,,,,,,,,,,,,,,,,,,,,
32,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2025-08-12 17:47:25.000,2025-08-12 17:47:24,902.0,31.0,539.0,41.0,1580.0,136.0,1676.0,3833.0,2025-07-31 21:20:24.000,4.28.4,242.0,328.0,36,True,,tox,conda-forge/tox,140699.0,129425.0,https://pypi.org/project/tox,2025-07-31 21:20:24.000,11274.0,https://anaconda.org/conda-forge/tox,2025-08-01 12:49:17.074,1465195.0,23257.0,1.0,,['pytest'],,,,,,,,,,,,,,,,,,
33,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2025-07-20 08:55:15.000,2025-07-20 08:55:15,1014.0,21.0,217.0,41.0,271.0,151.0,286.0,1931.0,2025-06-12 10:47:45.000,6.2.1,51.0,95.0,36,True,,pytest-cov,conda-forge/pytest-cov,447169.0,406989.0,https://pypi.org/project/pytest-cov,2025-06-12 10:47:45.000,40180.0,https://anaconda.org/conda-forge/pytest-cov,2025-06-13 01:28:23.973,14958811.0,237441.0,1.0,,['pytest'],,,,,,,,,,,,,,,,,,
34,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2025-08-12 06:20:58.000,2025-08-12 06:20:57,1323.0,18.0,239.0,52.0,524.0,279.0,390.0,1679.0,2025-07-01 13:31:02.000,3.8.0,71.0,109.0,36,True,,pytest-xdist,conda-forge/pytest-xdist,125715.0,120098.0,https://pypi.org/project/pytest-xdist,2025-07-01 13:30:56.000,5617.0,https://anaconda.org/conda-forge/pytest-xdist,2025-07-02 10:39:49.174,9127425.0,149642.0,1.0,,['pytest'],283.0,,,,,,,,,,,,,,,,,
35,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Asyncio support for pytest.,,https://github.com/pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2025-08-13 05:15:34.000,2025-08-13 05:03:32,1101.0,98.0,161.0,35.0,803.0,52.0,328.0,1543.0,2025-07-16 04:29:24.000,1.1.0,69.0,72.0,36,True,,pytest-asyncio,conda-forge/pytest-asyncio,161979.0,152984.0,https://pypi.org/project/pytest-asyncio,2025-07-16 04:29:24.000,8995.0,https://anaconda.org/conda-forge/pytest-asyncio,2025-07-28 13:34:27.883,2540101.0,40356.0,1.0,1.0,['pytest'],1625.0,,,,,,,,,,,,,,,,,
36,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2025-08-12 12:53:17.000,2025-08-12 12:53:16,763.0,14.0,269.0,31.0,517.0,115.0,321.0,672.0,2025-04-19 11:49:36.000,25.0,47.0,125.0,36,True,,packaging,conda-forge/packaging,1792968.0,1779187.0,https://pypi.org/project/packaging,2025-04-19 11:48:57.000,13781.0,https://anaconda.org/conda-forge/packaging,2025-04-22 18:15:05.471,72755314.0,1154858.0,2.0,,,919.0,,,,,,,,,,,,,,,,,
37,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2025-08-14 02:05:40.000,2025-08-14 02:05:00,3123.0,63.0,449.0,40.0,1275.0,47.0,1862.0,8450.0,2025-08-14 02:05:44.000,2.25.6,235.0,225.0,35,True,,pdm,conda-forge/pdm,703.0,503.0,https://pypi.org/project/pdm,2025-08-14 02:05:40.000,200.0,https://anaconda.org/conda-forge/pdm,2025-07-30 09:44:31.684,1496370.0,31856.0,2.0,,,648.0,,,,,,,,,,,,,,,,,
38,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2025-08-13 03:34:36.000,2025-08-13 03:25:39,2313.0,97.0,629.0,101.0,1074.0,215.0,930.0,7926.0,2025-07-31 09:45:18.000,7.5.0,122.0,219.0,35,True,,pip-tools,conda-forge/pip-tools,38596.0,35895.0,https://pypi.org/project/pip-tools,2025-07-31 09:45:18.000,2701.0,https://anaconda.org/conda-forge/pip-tools,2025-07-31 16:14:34.350,252826.0,4013.0,2.0,,,,,,,,,,,,,,,,,,,,
39,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2025-08-11 23:49:20.000,2025-08-11 23:49:18,1464.0,15.0,675.0,68.0,556.0,199.0,509.0,7232.0,2025-07-06 03:10:49.000,1.8.6,47.0,188.0,35,True,,bandit,conda-forge/bandit,59956.0,58126.0,https://pypi.org/project/bandit,2025-07-06 03:10:49.000,1830.0,https://anaconda.org/conda-forge/bandit,2025-07-06 11:19:39.653,503735.0,8695.0,1.0,,,881.0,,,,,,,,,,,,,,,,,
40,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2025-08-01 00:55:03.000,2025-07-02 13:49:24,27694.0,365.0,1648.0,194.0,6780.0,764.0,1036.0,5376.0,2025-05-12 21:41:22.000,4.3.0,146.0,891.0,35,True,,buildbot,conda-forge/buildbot,406.0,386.0,https://pypi.org/project/buildbot,2025-05-12 21:41:22.000,20.0,https://anaconda.org/conda-forge/buildbot,2025-05-13 11:35:44.706,154215.0,3751.0,2.0,,,118716.0,,,,,,,,,,,,,,,,,
41,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2025-08-14 14:30:47.000,2025-08-14 09:37:30,3157.0,124.0,557.0,79.0,2822.0,210.0,1597.0,2055.0,2025-07-30 11:13:54.000,2.34.1,289.0,281.0,35,True,,sentry-sdk,conda-forge/sentry-sdk,1278.0,,https://pypi.org/project/sentry-sdk,2025-08-07 12:34:46.000,1278.0,https://anaconda.org/conda-forge/sentry-sdk,2025-07-30 13:15:58.115,1334808.0,21681.0,1.0,,,3962.0,,,,,,,,,,,,,,,,,
42,setuptools_scm,pypa/setuptools_scm,build-tools,the blessed package to manage your versions by scm tags.,,https://github.com/pypa/setuptools-scm,https://github.com/pypa/setuptools-scm,MIT,2015-07-01 17:57:56.000,2025-08-12 01:11:11.000,2025-08-11 13:55:47,2001.0,142.0,223.0,28.0,574.0,33.0,595.0,916.0,2025-08-11 14:12:25.000,9.1.1,96.0,148.0,35,True,,setuptools_scm,conda-forge/setuptools_scm,33873.0,31734.0,https://pypi.org/project/setuptools_scm,2025-08-11 14:12:25.000,2139.0,https://anaconda.org/conda-forge/setuptools_scm,2025-08-11 20:38:27.320,4995143.0,79287.0,2.0,,,,,,,,,,,,,,,,,,,,
